import time: self [us] | cumulative | imported package
import time:       116 |        116 | winreg
import time:       182 |        182 |   _io
import time:        32 |         32 |   marshal
import time:       180 |        180 |   nt
import time:       596 |        989 | _frozen_importlib_external
import time:       395 |        395 |   time
import time:       198 |        593 | zipimport
import time:       123 |        123 |     _codecs
import time:       591 |        713 |   codecs
import time:       887 |        887 |   encodings.aliases
import time:      1390 |       2990 | encodings
import time:       595 |        595 | encodings.utf_8
import time:      1007 |       1007 | encodings.cp1252
import time:        62 |         62 | _signal
import time:        52 |         52 |     _abc
import time:       242 |        293 |   abc
import time:       232 |        525 | io
import time:        47 |         47 |       _stat
import time:        92 |        138 |     stat
import time:       767 |        767 |     _collections_abc
import time:        78 |         78 |       genericpath
import time:        81 |         81 |       _winapi
import time:       219 |        376 |     ntpath
import time:       566 |       1846 |   os
import time:        89 |         89 |   _sitebuiltins
import time:        54 |         54 |   errno
import time:      2615 |       2615 |   encodings.utf_8_sig
import time:      1503 |       1503 |   _distutils_hack
import time:       700 |        700 |   types
import time:       461 |        461 |     importlib
import time:       548 |        548 |     importlib._abc
import time:       161 |       1169 |   importlib.util
import time:        54 |         54 |   importlib.machinery
import time:       491 |        491 |     pywin32_system32
import time:      1471 |       1962 |   pywin32_bootstrap
import time:       226 |        226 |   sitecustomize
import time:       129 |        129 |   usercustomize
import time:      1926 |      12268 | site
import time:       659 |        659 | linecache
import time:      2058 |       2058 |     starlette
import time:      2808 |       2808 |       __future__
import time:      2592 |       2592 |       warnings
import time:      1571 |       6969 |     starlette.status
import time:       286 |        286 |           itertools
import time:      1267 |       1267 |           keyword
import time:       240 |        240 |             _operator
import time:      2051 |       2291 |           operator
import time:      1467 |       1467 |           reprlib
import time:       138 |        138 |           _collections
import time:      2116 |       7563 |         collections
import time:       123 |       7686 |       collections.abc
import time:       158 |        158 |           _functools
import time:      1993 |       2150 |         functools
import time:      3264 |       5414 |       enum
import time:      1441 |       1441 |         copyreg
import time:       161 |        161 |         _typing
import time:      5492 |       7092 |       typing
import time:      2100 |       2100 |         annotated_doc.main
import time:      1817 |       3916 |       annotated_doc
import time:      2009 |       2009 |         contextlib
import time:      2282 |       2282 |           email
import time:       303 |        303 |           binascii
import time:       122 |        122 |               _sre
import time:      1192 |       1192 |                 re._constants
import time:      1077 |       2268 |               re._parser
import time:      1333 |       1333 |               re._casefix
import time:      1167 |       4889 |             re._compiler
import time:      1392 |       6280 |           re
import time:      1606 |       1606 |           quopri
import time:      1224 |       1224 |               _datetime
import time:      2361 |       3585 |             datetime
import time:      2620 |       2620 |               urllib
import time:       225 |        225 |               math
import time:      3612 |       3612 |               ipaddress
import time:      2679 |       9135 |             urllib.parse
import time:      1449 |       1449 |             email._parseaddr
import time:      2310 |      16477 |           email.utils
import time:      2069 |       2069 |           email.errors
import time:        49 |         49 |                   _string
import time:      1260 |       1309 |                 string
import time:       905 |       2213 |               email.quoprimime
