import time: self [us] | cumulative | imported package
import time:        74 |         74 | winreg
import time:       170 |        170 |   _io
import time:        30 |         30 |   marshal
import time:       154 |        154 |   nt
import time:       529 |        882 | _frozen_importlib_external
import time:       357 |        357 |   time
import time:       195 |        552 | zipimport
import time:        59 |         59 |     _codecs
import time:       481 |        539 |   codecs
import time:       916 |        916 |   encodings.aliases
import time:      1027 |       2481 | encodings
import time:       519 |        519 | encodings.utf_8
import time:       597 |        597 | encodings.cp1252
import time:        84 |         84 | _signal
import time:        27 |         27 |     _abc
import time:       163 |        190 |   abc
import time:       135 |        325 | io
import time:        49 |         49 |       _stat
import time:        90 |        139 |     stat
import time:       745 |        745 |     _collections_abc
import time:        74 |         74 |       genericpath
import time:        74 |         74 |       _winapi
import time:       197 |        344 |     ntpath
import time:       567 |       1793 |   os
import time:        91 |         91 |   _sitebuiltins
import time:        50 |         50 |   errno
import time:      2221 |       2221 |   encodings.utf_8_sig
import time:      1637 |       1637 |   _distutils_hack
import time:       618 |        618 |   types
import time:       438 |        438 |     importlib
import time:       509 |        509 |     importlib._abc
import time:       158 |       1104 |   importlib.util
import time:        58 |         58 |   importlib.machinery
import time:       369 |        369 |     pywin32_system32
import time:       888 |       1257 |   pywin32_bootstrap
import time:       205 |        205 |   sitecustomize
import time:       127 |        127 |   usercustomize
import time:      1843 |      10999 | site
import time:       835 |        835 | linecache
import time:       684 |        684 |     starlette
import time:      1358 |       1358 |       __future__
import time:       701 |        701 |       warnings
import time:      1220 |       3278 |     starlette.status
import time:       134 |        134 |           itertools
import time:       437 |        437 |           keyword
import time:        75 |         75 |             _operator
import time:       546 |        620 |           operator
import time:       523 |        523 |           reprlib
import time:        74 |         74 |           _collections
import time:      1062 |       2848 |         collections
import time:        26 |       2874 |       collections.abc
import time:       112 |        112 |           _functools
import time:      1513 |       1624 |         functools
import time:      1850 |       3473 |       enum
import time:       718 |        718 |         copyreg
import time:        41 |         41 |         _typing
import time:      2248 |       3007 |       typing
import time:       954 |        954 |         annotated_doc.main
import time:       757 |       1710 |       annotated_doc
import time:      1033 |       1033 |         contextlib
import time:       744 |        744 |           email
import time:       119 |        119 |           binascii
import time:        94 |         94 |               _sre
import time:       791 |        791 |                 re._constants
import time:       883 |       1673 |               re._parser
import time:       513 |        513 |               re._casefix
import time:       756 |       3035 |             re._compiler
import time:      1353 |       4388 |           re
import time:       707 |        707 |           quopri
import time:       125 |        125 |               _datetime
import time:       502 |        627 |             datetime
import time:       577 |        577 |               urllib
import time:        71 |         71 |               math
import time:      1507 |       1507 |               ipaddress
import time:      1449 |       3602 |             urllib.parse
import time:       994 |        994 |             email._parseaddr
import time:       874 |       6097 |           email.utils
import time:       853 |        853 |           email.errors
import time:        44 |         44 |                   _string
import time:       695 |        739 |                 string
import time:       444 |       1183 |               email.quoprimime
import time:        83 |         83 |                     _struct
import time:       587 |        669 |                   struct
import time:       611 |       1280 |                 base64
import time:       463 |       1743 |               email.base64mime
import time:       398 |        398 |                 email.encoders
import time:       498 |        895 |               email.charset
import time:       876 |       4695 |             email.header
import time:       633 |       5328 |           email._policybase
import time:       611 |        611 |           email._encoded_words
import time:       315 |        315 |           email.iterators
import time:      1151 |      20308 |         email.message
import time:        71 |         71 |             _ast
import time:      1230 |       1300 |           ast
import time:        42 |         42 |               _opcode
import time:       403 |        403 |               _opcode_metadata
import time:       452 |        896 |             opcode
import time:       888 |       1784 |           dis
import time:       508 |        508 |             token
import time:        84 |         84 |             _tokenize
import time:      1195 |       1787 |           tokenize
import time:       434 |        434 |             _weakrefset
import time:       628 |       1062 |           weakref
import time:      2483 |       8414 |         inspect
import time:        58 |         58 |               _json
import time:       463 |        520 |             json.scanner
