1: Villa Moderna en Cartagena | for-sale | images=["/images/casa-moderna.jpg"]
2: Apartamento Costa Mar Menor | for-sale | images=["/images/apartamento-costa.jpg"]
3: Casa Rural en Lorca | for-sale | images=["/images/casa-rural.jpg"]
4: Chalet en Águilas Frente al Mar | for-sale | images=["/images/chalet-aguilas.jpg"]
5: Piso Céntrico Murcia Capital | for-sale | images=["/images/piso-ciudad.jpg"]
11: Terreno Casillas | for-sale | images=["http://localhost:8000/uploads/951ce5cf-120a-4f76-96af-0deb9b7c5fc9.png"]
6: Villa en Torre Pacheco | for-sale | images=["/images/apartamento-torre-pacheco.jpg"]
7: Ático en Molina de Segura | for-sale | images=["/images/atico.jpg"]
8: Casa Adosada en Totana | for-sale | images=["/images/casa-adosada.jpg"]
9: Estudio Moderno Murcia Centro | for-sale | images=["/images/estudio.jpg"]
10: Dúplex Familiar Alcantarilla | for-sale | images=["/images/duplex.jpg"]
